Customer ID,Customer Name,Age,Gender,Location,Marital Status,Designation,Email ID,Purchased Product Type,Earning,Earning Potential,Spending Limit,Marketing Costs,Revenue,Net Profit
5672,Mr. Eric Smith,37,Male,Port Johnnyland,Widowed,"Lecturer, higher education",msmith@example.org,Other,10000,19700,33400,13400,15800,16400
3437,Ronald Byrd,39,Male,Lake Lori,Widowed,Volunteer coordinator,pmoore@example.net,Appliances,18900,27000,49800,1400,6600,4400
4724,Tiffany Keller,36,Other,New Todd,Single,Technical author,johnrandall@example.com,Clothing,15700,24700,46100,1100,10000,13100
9754,Michael Lynch,60,Other,Davenportton,Widowed,Warehouse manager,kristina85@example.com,Electronics,10600,11800,30100,14600,21600,25600
1857,Mallory Hicks,28,Female,Snowchester,Married,Midwife,savagemary@example.com,Books,16400,22000,47500,11500,20700,24700
2092,Gloria Marshall,56,Male,East Anthonyfort,Single,Armed forces technical officer,wilsonryan@example.org,Furniture,20000,22100,47500,1300,10600,13800
4767,Mary Barnett,40,Other,Matthewmouth,Single,"Administrator, sports",allen82@example.net,Books,12100,20900,35100,1400,8300,8000
9898,Christopher Gilmore,53,Male,West Meagan,Single,"Doctor, hospital",robinhopkins@example.net,Books,5100,8900,22800,14500,17800,22400
9913,Rebecca Smith,33,Other,North Karen,Widowed,"Administrator, education",caleb70@example.net,Books,9000,9300,23900,8000,16400,18900
7576,Calvin Garcia,40,Female,Daniellehaven,Married,"Surveyor, insurance",seth10@example.net,Furniture,15800,16300,36500,14700,18300,20200
7870,Anthony Walker,18,Male,Port Sylvia,Single,Academic librarian,briancontreras@example.net,Other,13700,17800,37200,8300,12100,16500
1390,Jacob Campbell,43,Male,Port Nicole,Divorced,Occupational therapist,moontiffany@example.net,Furniture,12100,12800,25400,1400,4400,7100
2006,Terry Chen,42,Female,North Susan,Single,"Lighting technician, broadcasting/film/video",michelle05@example.org,Appliances,8900,12600,30800,13800,15000,12500
5930,Joseph Moss,52,Other,Taraton,Divorced,Computer games developer,victor89@example.net,Appliances,10500,15000,30000,12000,12600,17500
1660,Pamela Randall,64,Male,North John,Single,Personnel officer,jill70@example.org,Electronics,13600,18300,39700,5500,10500,14700
7337,Justin Fisher,19,Male,East John,Married,"Teacher, English as a foreign language",angelacervantes@example.net,Clothing,7600,13100,26200,3700,11000,8400
4881,Jessica Mora,35,Female,East Amyville,Divorced,"Editor, film/video",barnesronnie@example.org,Electronics,7300,9100,19900,3400,10400,9100
1107,Amy Bishop,43,Female,West Roberttown,Divorced,"Optician, dispensing",tylerjackson@example.org,Appliances,14700,17800,40600,14400,20600,21300
9983,Eduardo Suarez,41,Male,Port Davidport,Divorced,Product designer,hayesantonio@example.org,Clothing,7400,14100,22200,4800,6700,3900
7247,Stacey Vaughn,25,Female,Wagnerfort,Divorced,Rural practice surveyor,vhuff@example.com,Furniture,14100,19300,34300,7100,7700,11400
8374,Travis Morton,45,Male,Tiffanystad,Married,"Psychologist, educational",bensonlinda@example.net,Furniture,13800,21000,43300,5900,10500,6400
5397,Tracy Price,33,Male,Lake Brookebury,Divorced,Environmental consultant,emilybenson@example.com,Appliances,11700,20400,40200,14400,14400,11700
7896,Angela Young,42,Female,West Samantha,Divorced,Emergency planning/management officer,krose@example.org,Books,6100,8400,19600,7400,12800,10000
5972,Maria Clements,45,Female,Dylanport,Married,"Therapist, sports",mikestafford@example.com,Clothing,16700,18800,40100,10000,11100,15500
9631,Jonathan Snyder,38,Male,West Graceshire,Widowed,Technical sales engineer,vwhite@example.com,Other,18700,20900,46100,7800,11500,13000
3824,Anthony Brown,40,Male,Lake Amandaberg,Single,"Scientist, physiological",james91@example.com,Electronics,8100,9100,26700,11100,19500,16000
7997,Kyle Jennings,18,Other,Katieshire,Married,Museum/gallery conservator,npark@example.org,Electronics,14600,22400,45600,3000,11000,10800
6821,Michael Perry,63,Female,South Phillip,Married,Magazine journalist,ibell@example.org,Appliances,7000,11800,20800,10500,18100,13600
4016,Natalie Stephens,49,Male,Williammouth,Widowed,Dancer,hgross@example.net,Clothing,19100,27000,46400,11300,17400,17800
7889,Kathleen Watkins,57,Female,South Dawnburgh,Divorced,"Engineer, production",crystal12@example.com,Clothing,12500,21200,35500,12700,15200,13700
4419,James Martinez,55,Other,Heathermouth,Divorced,"Administrator, charities/voluntary organisations",jeremiah24@example.org,Furniture,14200,17200,39100,7200,8400,10500
9049,Laura Smith,24,Female,Port Christopherchester,Single,Actuary,zchristensen@example.com,Electronics,19700,26000,54300,6700,7000,5300
2202,Sherri Holder,46,Male,Lake Eddietown,Single,"Production assistant, television",archerhunter@example.com,Electronics,9900,17300,37200,8600,11200,7800
4406,Christina Wagner,41,Female,Ramosborough,Single,Archaeologist,tcraig@example.com,Clothing,6700,8500,20800,3000,5100,2100
8241,Austin King,41,Other,Tommyborough,Married,Housing manager/officer,huynhlindsey@example.net,Books,6100,9000,15500,1800,9900,12300
3998,Kristine Vasquez,64,Other,Lake Gabrielle,Divorced,Analytical chemist,tmoore@example.net,Furniture,10800,16700,29100,3300,7000,5200
9788,Terri French,55,Female,Port Jamesmouth,Widowed,Chartered legal executive (England and Wales),lisawallace@example.com,Clothing,12400,20500,33700,11300,12300,7300
5634,Phyllis Avila,20,Female,Port Eric,Married,"Psychologist, occupational",melanie15@example.com,Electronics,7000,10200,20200,10700,16700,15900
8535,Tiffany Edwards,51,Male,Salinaschester,Widowed,Environmental health practitioner,hkelley@example.net,Clothing,10900,16700,37500,10600,12000,12900
6259,Frederick Cortez,59,Other,Jonesport,Married,Claims inspector/assessor,seankennedy@example.com,Books,7500,10700,26400,13100,17000,21000
5920,Christopher Foley,29,Other,West Cindyburgh,Single,"Engineer, biomedical",bishopchristopher@example.org,Clothing,14700,23200,42500,2400,12400,9300
2573,Jessica Baker,18,Female,North Kayla,Widowed,"Editor, film/video",greenjohn@example.org,Electronics,12100,12200,28900,1200,6200,1700
2148,Cody Walker,46,Other,Amyburgh,Divorced,Translator,mguerrero@example.com,Furniture,16600,22500,44000,5300,11300,8200
2957,Jennifer Hoffman,64,Male,East Georgeville,Widowed,Comptroller,lwillis@example.org,Books,14300,17900,39400,3100,9300,8400
1415,Emily Cole,54,Male,South Christopherland,Divorced,"Journalist, broadcasting",ayersmichael@example.net,Appliances,9100,17700,27200,13700,22100,24700
2215,Rachel Meadows MD,49,Male,Josephport,Widowed,Radio broadcast assistant,elizabethvasquez@example.org,Appliances,14400,21300,43400,12100,15400,11000
2447,Timothy Rodriguez,55,Male,Smithfort,Divorced,Theatre stage manager,vcarpenter@example.net,Books,14000,16000,31900,9400,10500,15400
1614,Jerry Horn,54,Female,South Frances,Widowed,Environmental manager,donaldcabrera@example.com,Furniture,10300,11200,30100,3400,11600,14600
5960,Miss Elizabeth Foster MD,21,Other,East Laura,Single,Quarry manager,joshua97@example.org,Books,11800,17400,34900,14500,21400,24200
7455,Darren Garcia,39,Female,Michaelview,Married,"Surveyor, rural practice",ilee@example.org,Other,6800,11200,22700,2000,6900,10300
1723,Mark Wood,63,Female,East David,Married,Camera operator,teresacunningham@example.com,Other,9300,16800,30800,6800,9100,7900
4702,Frank Flowers,51,Female,Kimberlyside,Divorced,Higher education lecturer,helen72@example.com,Books,18600,22400,46600,6400,11100,12300
7190,Jeremy Carrillo,51,Female,New Joe,Widowed,"Accountant, chartered certified",toddjackson@example.com,Furniture,11200,19300,40200,13100,17900,20200
3063,Daniel Sims,49,Female,Jonathanview,Divorced,"Teacher, music",brianna69@example.org,Electronics,9100,14500,24500,7900,12600,14600
4097,Alicia Moore,55,Male,Donnaside,Married,Jewellery designer,pallen@example.com,Other,16800,25600,49700,2100,4400,3900
1610,Grace Lucas,52,Other,Juliefurt,Single,Ergonomist,shawnawatson@example.org,Other,14700,17900,34300,2900,8600,4500
2634,Paul Wallace,56,Female,Brianland,Single,Barrister's clerk,james50@example.org,Books,11900,17700,36300,8100,8600,13600
3210,Pamela Smith,37,Female,Danielshire,Divorced,"Programmer, applications",reyesedwin@example.com,Clothing,19200,23000,46800,14900,18200,22200
4302,Ryan James,45,Female,South Benjaminside,Married,"Engineer, building services",ronaldmckinney@example.net,Electronics,10600,13100,28700,1800,7400,6400
9375,Caroline Adams,29,Other,West Ericamouth,Married,Brewing technologist,xfarrell@example.com,Appliances,13300,18200,35500,5500,11400,13100
6817,John West,52,Male,Jessicahaven,Single,Special educational needs teacher,amandasteele@example.net,Books,6400,12500,27200,9000,12300,10100
2490,Zachary May,23,Female,Port Matthew,Divorced,"Teacher, primary school",kristen90@example.com,Books,10800,12100,26400,1400,4200,1500
7958,Eric Tucker,60,Other,West Paul,Married,Multimedia programmer,qhill@example.net,Furniture,5800,8800,17700,6300,9700,11300
9735,Alexander Perez,38,Male,East Jacquelineville,Widowed,Herpetologist,tammy80@example.com,Furniture,13000,17800,32200,4600,11800,7600
2021,David Lee,23,Other,Davidfort,Divorced,Race relations officer,brian04@example.com,Other,15200,22500,38000,11100,11800,16800
8157,Samuel Watson,47,Other,South Daniel,Single,Stage manager,terrellmichael@example.com,Other,11800,16300,37500,2900,4800,6200
1851,Matthew Anderson,43,Male,Alvarezton,Single,Financial planner,jamie92@example.com,Electronics,6600,13900,22800,8600,18200,15200
7823,Jason Robertson,33,Other,Waynetown,Married,Ship broker,iwoodward@example.net,Other,10400,14100,30800,5100,14000,14300
8619,Allison Bailey,38,Female,Brownville,Single,Radiation protection practitioner,kathy06@example.com,Other,19500,28400,54500,7100,15600,17500
5273,Lisa Frey,51,Female,East Julie,Single,Automotive engineer,justin93@example.com,Furniture,13000,16700,34600,10900,12100,13900
9466,Chad Gates,21,Male,New Shawn,Divorced,Make,parksjohn@example.com,Furniture,10400,10600,28100,14800,15800,15900
4070,Alicia Martin,62,Other,West Savannahfurt,Widowed,"Surveyor, minerals",lhorton@example.com,Appliances,17700,26100,45300,9400,17900,14000
8313,Abigail Gallegos,23,Male,Woodshire,Divorced,"Engineer, production",eric17@example.net,Clothing,15100,20100,38500,10800,15200,14600
7054,Linda Powell,40,Male,East Kylieshire,Single,Fine artist,mburns@example.org,Appliances,16700,20200,46800,4500,11400,9200
3358,Valerie Guerrero,23,Female,Jeremyberg,Divorced,Colour technologist,mitchelleric@example.net,Appliances,8600,8700,20600,3000,8200,5900
1927,Justin Melendez,42,Male,Mitchellborough,Widowed,Ceramics designer,slambert@example.com,Electronics,11700,18900,39600,13800,23400,26800
3111,Veronica Dominguez,24,Female,Lewisland,Divorced,Sports administrator,coxgerald@example.com,Other,8500,17200,31400,9800,17300,16500
9551,Allison Elliott,26,Other,Heatherchester,Married,Chief Financial Officer,kelly14@example.net,Clothing,11300,21200,35200,2300,5200,4400
5439,John Martinez,52,Other,Adkinsview,Widowed,Recruitment consultant,edward33@example.net,Furniture,19300,28800,55900,3500,10500,10100
8380,Crystal Wade,33,Female,East Jason,Married,"Engineer, materials",miguel89@example.com,Electronics,18700,19300,41600,12100,12800,11500
8523,Robert Walker,63,Other,Hoopertown,Widowed,Building control surveyor,bjames@example.org,Other,11700,19400,39900,6900,11800,9500
8507,Jeffrey White,47,Female,East William,Married,Sports coach,michaeldavis@example.org,Furniture,19900,29400,55500,2900,9500,14100
1454,Krystal Miles,44,Female,North Paula,Single,Software engineer,jesse14@example.com,Other,15900,22200,40600,9700,15000,17900
8974,Hannah Miller,53,Other,Kristenmouth,Single,Forensic psychologist,mclaughlindave@example.com,Clothing,19900,23500,44900,11100,17900,19600
1279,James Green,49,Female,Reyesmouth,Married,Travel agency manager,michaelmartin@example.net,Electronics,15200,25100,42000,9300,18000,19000
8865,Jennifer Skinner,34,Other,New John,Divorced,IT technical support officer,aaronbrown@example.org,Books,14200,17100,32200,1700,7700,9800
1171,Garrett Robinson,32,Other,South Anthony,Divorced,Corporate investment banker,cmoore@example.org,Books,10600,18300,34600,7900,15200,19800
4864,Jennifer Morgan,20,Female,Michaelview,Widowed,Trade union research officer,gracemckinney@example.org,Other,8500,13000,23700,12500,15500,18800
3499,Timothy Daniel,56,Other,North Debra,Single,"Runner, broadcasting/film/video",rolson@example.com,Furniture,18000,20800,47900,13500,19500,14600
2265,Joseph Watson,57,Other,Bestfurt,Widowed,Audiological scientist,michelle36@example.net,Furniture,17600,25700,48900,6800,10600,7000
5401,Joshua Peterson,25,Other,Brentberg,Married,Accommodation manager,bdodson@example.net,Appliances,7300,9700,18100,10100,11100,14600
6614,Victoria Reynolds,26,Female,New Barbaraburgh,Single,Multimedia programmer,slong@example.com,Appliances,6200,14100,29000,10600,15600,15000
4626,Kelsey Wilson,53,Other,Cabrerabury,Single,"Therapist, nutritional",ffranklin@example.org,Furniture,7800,11000,22800,12000,21100,21800
2482,Rebecca Brown,64,Male,New Donnaburgh,Married,Information officer,xfields@example.net,Books,8900,17500,34900,5700,6100,4100
5425,Micheal Miller,22,Other,Martinfort,Widowed,Horticultural consultant,gsingleton@example.org,Furniture,9000,18600,32000,10700,17100,20300
6329,Amy Watkins,50,Male,New Stevenstad,Married,IT consultant,emily37@example.net,Electronics,15800,25000,49800,3100,10400,13200
1368,Mitchell Hammond,34,Male,Brittanystad,Married,Commercial art gallery manager,dvazquez@example.com,Electronics,6600,16400,23800,8500,15100,18000
5912,Eric Simpson,40,Male,Port Melissa,Widowed,Personnel officer,steven06@example.org,Clothing,14800,23200,45000,7300,14600,12700
4820,Shannon Walters,40,Female,Brianchester,Married,Paediatric nurse,jose79@example.com,Clothing,14700,23400,45000,2800,11400,6900
7524,Richard Garza,32,Male,Johnsonbury,Single,Holiday representative,rrivera@example.org,Electronics,16900,18600,39200,3100,11000,14700
6902,Holly Edwards,35,Female,Stokesfort,Single,Ship broker,mwebb@example.net,Books,18500,26500,48800,7800,9600,8700
7007,Wesley Fields,63,Female,South Nicholas,Single,Hydrographic surveyor,hopkinsmichele@example.net,Clothing,11400,12600,26000,4900,6400,6200
2497,Michael Suarez,53,Other,Cynthiaport,Single,"Embryologist, clinical",barneslisa@example.com,Electronics,19100,27100,55300,10700,20300,16700
2367,Robert Nunez,58,Male,North Aaronville,Married,"Production designer, theatre/television/film",thomasrebecca@example.net,Books,5200,13400,27600,4900,10600,10500
9859,Johnny Adams,64,Other,Sandyhaven,Widowed,"Nurse, adult",christopherhicks@example.com,Books,7900,8400,25200,10900,13100,11300
2509,James Miller,44,Male,Port Marissamouth,Married,Acupuncturist,huntsteven@example.net,Furniture,18700,22600,49400,9100,11200,13100
1952,Kyle Fletcher,27,Male,Johnsonland,Divorced,"Therapist, nutritional",ifuller@example.net,Other,11800,21800,35800,10200,12900,17100
7177,Andrea Sullivan,31,Male,New Diane,Widowed,Agricultural consultant,elizabeth49@example.org,Electronics,13700,19300,37600,3700,6100,4700
7186,Brian Roberts,30,Female,New Oscarmouth,Widowed,Research scientist (life sciences),olopez@example.com,Electronics,7800,8200,22500,3300,4900,200
2593,Daniel Carter,48,Male,New Joshuastad,Married,"Programmer, systems",chavezlaura@example.net,Electronics,12500,19900,35200,1100,1600,3200
9743,Barbara Martinez,27,Male,Garciabury,Single,Health and safety adviser,costastacey@example.net,Appliances,16100,20700,38300,8800,14200,19000
8315,Aaron Mitchell,64,Male,Patriciaburgh,Single,Air broker,michellemack@example.net,Books,9000,18300,29800,12300,13300,13000
2221,Brian Gomez,19,Male,Jennaville,Divorced,Cabin crew,millervictoria@example.net,Electronics,16600,18200,36500,10200,18900,20400
8364,Ronald Peterson,49,Male,West Julie,Married,Control and instrumentation engineer,reynoldsjesse@example.net,Electronics,5000,6100,14100,7900,13400,14900
1154,Justin White,47,Male,New Theodoreport,Widowed,"Designer, graphic",petersmichelle@example.net,Appliances,11700,15400,33400,3600,6100,6800
7773,Jorge Hanna,28,Male,East Jessica,Single,Museum education officer,kellyjeremy@example.com,Electronics,17800,21900,40000,4300,12300,13500
9447,Robert Jensen,65,Other,North James,Widowed,Phytotherapist,richardnorris@example.org,Clothing,9500,19000,33100,3200,5000,500
3918,Kathryn Cantu,25,Male,Davidfort,Divorced,Electronics engineer,tylerantonio@example.net,Other,17900,23200,48100,5700,13300,12000
8517,Patrick Walker,44,Male,Alyssahaven,Widowed,"Accountant, chartered management",christopherfernandez@example.net,Electronics,7700,9900,24900,12000,15300,18600
3516,Raymond Ball,48,Male,Destinyland,Widowed,Dispensing optician,murrayadam@example.net,Clothing,12600,15100,32400,12400,16400,13800
9013,Bradley Patterson,32,Female,Youngville,Divorced,Interpreter,xwolfe@example.org,Furniture,17900,19500,43300,14100,23400,22500
9053,Mrs. Katherine Kelley DDS,27,Male,South Ryan,Widowed,"Doctor, hospital",davidgarcia@example.org,Books,10000,20000,37000,11400,12200,13700
8675,Cynthia Lin,35,Male,Port Alex,Married,Data processing manager,scunningham@example.net,Electronics,8900,15800,26300,3600,4700,700
8868,Ryan Bennett,55,Female,Sherihaven,Divorced,Medical laboratory scientific officer,zacharybranch@example.net,Clothing,14500,19100,41400,1600,6500,2700
6668,Timothy Smith,42,Other,North Sandra,Single,"Education officer, environmental",walkererin@example.com,Furniture,9100,15800,26000,3200,10300,7400
7368,Albert Coleman,38,Male,Kennethview,Married,"Education officer, community",fmorris@example.org,Appliances,18800,25200,44800,10000,15000,19800
7805,Crystal Oliver,56,Female,Lake David,Single,Social researcher,vlyons@example.com,Furniture,18500,21900,44300,3300,10300,12100
7084,Steve Bell,62,Female,Stevensonmouth,Divorced,"Administrator, arts",aaron27@example.org,Books,5000,7100,17100,9300,13400,15200
5689,Rodney Donovan,60,Male,Heatherfort,Divorced,Housing manager/officer,pmorris@example.com,Electronics,13200,16400,38700,10800,14300,9300
5393,Kevin Gonzalez,28,Female,Stephensonchester,Widowed,Multimedia specialist,amberfitzpatrick@example.net,Books,17500,23600,50300,1300,7900,10900
1804,Alicia Villa,44,Female,New Colin,Widowed,English as a foreign language teacher,wrightkristi@example.net,Books,5400,9100,20600,8400,14200,10000
5766,Anthony Hall,61,Female,Estesside,Married,Youth worker,yleonard@example.com,Electronics,7800,17300,31800,11500,11600,9200
7802,Mark Jones,50,Other,North Barbaratown,Divorced,Pensions consultant,joshuameyer@example.com,Clothing,14200,18500,37900,10900,20900,24400
7553,Stephanie Young,46,Other,Frederickberg,Single,Futures trader,johnsonjames@example.net,Furniture,12800,14200,36800,3100,12000,15000
7694,Megan Barry,57,Other,Jenniferstad,Married,Sales promotion account executive,lisathompson@example.com,Books,11100,17000,33300,7200,15100,20000
3026,Denise Johnson,65,Other,South Andre,Married,Location manager,joshua23@example.org,Clothing,6400,7300,21000,14300,21800,19500
1254,Crystal Williamson,38,Male,Floydville,Divorced,"Scientist, clinical (histocompatibility and immunogenetics)",andersonteresa@example.com,Electronics,11100,12900,24900,5300,11900,15600
2460,Justin Chandler,50,Male,Joelside,Single,Television/film/video producer,andersonkaitlyn@example.net,Furniture,19500,29100,50200,10700,20700,21100
7980,Max Edwards,45,Male,Lanceland,Married,"Buyer, retail",ythompson@example.net,Clothing,7000,9800,20800,5300,10600,6900
1401,David Sandoval PhD,30,Other,Port Andrew,Widowed,Mental health nurse,mitchellbonnie@example.net,Furniture,7100,15700,31000,4500,5900,3500
8616,Jon Mercer,39,Male,West Morganchester,Married,"Editor, magazine features",jpierce@example.com,Books,17400,26600,44900,7800,13100,14900
7311,Laurie Small,51,Female,Angelaview,Married,Transport planner,pamela34@example.com,Appliances,6700,15300,27700,8700,10600,14500
5921,Caitlyn Murray,33,Other,New Shaneton,Single,"Engineer, technical sales",ihughes@example.net,Books,18600,23600,48100,7800,9600,14000
5009,Christopher Patton,23,Male,Martinville,Divorced,Chiropodist,ryanhernandez@example.com,Electronics,8200,15300,32200,13600,20800,25700
4526,Mary Hill,42,Other,Suzannemouth,Married,"Education officer, community",josephgraham@example.net,Appliances,8200,12800,27600,4700,12200,12700
8025,Emily Duncan,65,Other,Port Jessehaven,Widowed,Editorial assistant,michele14@example.net,Books,17100,18200,39700,2600,10000,13200
5274,Antonio Simpson,64,Female,Tonyfurt,Divorced,Nature conservation officer,james74@example.com,Books,19000,24000,44600,5200,14900,10800
8062,Carlos Lopez,45,Female,New Audreyburgh,Divorced,"Producer, radio",dproctor@example.com,Books,9200,9300,28400,12100,13300,17800
4887,Jennifer Lopez,55,Other,New James,Divorced,Magazine journalist,williammooney@example.com,Electronics,11700,15000,33700,8000,9300,13000
6063,Russell Morris,64,Male,Jamieland,Widowed,Learning disability nurse,adamssabrina@example.com,Furniture,18500,25300,51900,11700,18900,15800
5759,Jessica Collins,23,Other,Lake James,Divorced,"Engineer, drilling",mosskimberly@example.net,Books,15800,17300,40600,8600,18500,13800
8987,Gary Smith,37,Male,North Crystalmouth,Single,Stage manager,stonewilliam@example.com,Electronics,10400,16200,28900,13300,14500,15300
7866,Cameron Hendricks,22,Female,Williamsonview,Married,Forensic psychologist,valdezjennifer@example.com,Electronics,18800,23500,52100,2900,12900,17000
6212,Susan Lucas,46,Female,Lake Jeffreytown,Widowed,Adult guidance worker,kayla50@example.com,Books,10100,18700,30400,10200,13800,13000
2918,Bryan Hammond,63,Female,Chadburgh,Widowed,Call centre manager,mweber@example.com,Electronics,12900,22400,40800,7400,14200,9600
4830,William Garcia,53,Male,Kevinbury,Divorced,Technical brewer,pturner@example.net,Other,15200,23800,45400,7300,11700,7800
3810,Laura Nunez,52,Male,Kristinamouth,Married,Ship broker,estradanicholas@example.net,Books,14500,17800,33000,13600,18800,14700
3550,Scott Abbott,36,Male,Ritterburgh,Married,"Nurse, mental health",fishermackenzie@example.com,Furniture,16200,23600,41300,6000,9300,4900
9337,Laura Lindsey,50,Male,Dominguezville,Widowed,"Engineer, biomedical",coconnor@example.org,Clothing,18200,23000,47800,12700,17600,14800
6101,Johnathan Roth,40,Other,South Karenfort,Married,Chief Marketing Officer,johnsonmarcus@example.com,Furniture,16500,24600,43000,3700,12000,10200
6135,Kevin Kelly,47,Male,North Carol,Single,Emergency planning/management officer,powelljulia@example.net,Books,8000,12700,24500,4400,10600,12700
6589,Kayla Hayden,26,Other,Williamberg,Divorced,Aeronautical engineer,courtneylynch@example.net,Electronics,11300,12600,26000,8700,16000,11900
4588,Mark Russo,58,Male,Castilloshire,Divorced,Drilling engineer,michael79@example.org,Appliances,10700,19300,32000,1100,8800,11100
1175,Craig Weaver,25,Male,New Victoria,Single,Tour manager,erivas@example.com,Appliances,6600,9500,20200,11100,17100,15000
5763,Bonnie Cunningham,44,Male,Port Dianashire,Single,Osteopath,kyle71@example.org,Appliances,13600,19600,42200,9500,9900,8200
9870,Christina Jackson,23,Male,South Melissastad,Single,Armed forces operational officer,deborah15@example.com,Clothing,5500,5800,14100,10700,12900,13100
7547,Isaiah Wilson,54,Other,Smithland,Widowed,Agricultural engineer,tina49@example.net,Furniture,20000,27900,52300,9400,12900,12800
5290,Alan Woodard,52,Other,South Jacobberg,Divorced,Retail merchandiser,garymaynard@example.com,Furniture,19100,26200,51900,12200,17300,18000
4680,Charles Watts,32,Other,Lake Josephside,Divorced,Landscape architect,melanieprice@example.com,Furniture,10800,14900,29300,9500,11300,14300
6485,Beth Lowe,59,Male,Walshstad,Married,Purchasing manager,randy46@example.net,Other,20000,27800,48800,12000,19900,20000
3214,Nicholas Mercer,37,Female,Alvinview,Single,Computer games developer,rayeric@example.net,Furniture,10600,13400,27200,4400,12100,12600
5528,Robert Watson,49,Other,Gallegosbury,Married,"Administrator, education",penachristina@example.com,Furniture,5100,13300,20900,8600,17300,16300
9906,Robert Wilson,33,Female,Brentchester,Widowed,Glass blower/designer,michaelcastillo@example.com,Clothing,6800,7600,22500,9200,18000,13200
8897,Gabriel Morris Jr.,38,Male,Johnsonstad,Married,Electronics engineer,laura15@example.net,Appliances,6500,14600,28100,6100,11200,11100
8513,James Armstrong,18,Other,Port Carol,Widowed,Fast food restaurant manager,joseph16@example.com,Furniture,10800,16700,31000,13200,13600,17200
2026,Brian Cuevas,62,Female,Perkinsland,Married,Psychiatric nurse,jenniferedwards@example.org,Books,6700,15600,23900,9000,14000,10500
1825,Jonathan Patel,46,Female,New Abigailburgh,Widowed,Furniture conservator/restorer,markmclean@example.net,Furniture,5800,9600,23400,5500,9700,11500
2296,Zachary Dawson,48,Female,Maryberg,Single,Environmental health practitioner,emily06@example.org,Furniture,13400,21700,38900,11100,19900,14900
7567,Charles Edwards,18,Male,New Matthewstad,Widowed,Charity fundraiser,cameron95@example.net,Books,6800,12000,26600,9100,12100,15300
4532,John Carter,54,Female,Mackenzieborough,Divorced,"Designer, jewellery",gaineskevin@example.net,Furniture,18100,19500,44400,8400,9000,13200
5287,Kimberly Brown,31,Female,Arthurstad,Single,Control and instrumentation engineer,speterson@example.org,Appliances,11000,12700,24800,13500,23000,25900
2889,Michelle Mack,53,Male,South Thomasport,Single,Surgeon,wendymoreno@example.com,Furniture,12100,12600,31100,7200,13200,9000
9020,Wendy Roberts,56,Other,East Lisafurt,Divorced,Lawyer,roberthall@example.org,Electronics,17400,17800,43400,9300,12700,17300
6397,Douglas Salinas,43,Other,Matthewside,Divorced,Marine scientist,suttonjoshua@example.net,Electronics,10400,14200,26700,10600,15300,19800
4636,Michelle Hubbard,24,Other,Christinebury,Widowed,"Doctor, hospital",codystevens@example.com,Clothing,18800,25100,51400,8100,8300,10700
